sales_agent,account,product,order_value,create_date
Boris Faz,Betasoloin,GTX Plus Basic,992,2017-04-03
Anna Snelling,dambase,GTX Plus Pro,5060,2017-04-01
Cassey Cress,Kan-code,GTX Basic,585,2017-04-01
Versie Hillebrand,Zumgoity,MG Advanced,3251,2017-04-01
Violet Mclelland,Mathtouch,GTX Plus Basic,941,2017-04-01
Anna Snelling,Codehow,MG Advanced,3445,2017-04-04
Daniell Hammack,Vehement Capital Partners,GTX Basic,540,2017-04-02
Daniell Hammack,Gekko & Co,GTXPro,4986,2017-04-02
Reed Clapper,Ganjaflex,GTXPro,4440,2017-04-03
Versie Hillebrand,Rangreen,MG Special,52,2017-04-02
Gladys Colclough,Stanredtax,GTX Basic,503,2017-04-03
Markita Hansen,Kan-code,MG Advanced,3181,2017-04-06
Vicki Laflamme,Blackzim,GTX Basic,545,2017-04-03
Violet Mclelland,Yearin,MG Special,68,2017-04-02
Anna Snelling,Dontechi,MG Special,54,2017-04-04
Daniell Hammack,The New York Inquirer,GTX Plus Basic,971,2017-04-05
Daniell Hammack,Donware,GTX Plus Pro,6024,2017-04-05
Darcel Schlecht,Stanredtax,GTXPro,4820,2017-04-04
Garret Kinder,Ganjaflex,MG Advanced,2940,2017-04-02
Hayden Neloms,Doncon,MG Special,49,2017-04-04
Rosalina Dieter,Y-corporation,GTK 500,25288,2017-04-05
Reed Clapper,Mathtouch,GTXPro,5363,2017-04-05
Zane Levy,Doncon,MG Advanced,4253,2017-04-03
Cecily Lampkin,Codehow,GTX Plus Basic,1056,2017-04-08
Darcel Schlecht,Warephase,MG Advanced,3665,2017-04-09
Hayden Neloms,Goodsilron,MG Special,58,2017-04-08
Moses Frase,Bioholding,GTX Plus Pro,5447,2017-04-07
Niesha Huffines,Globex Corporation,GTX Plus Pro,5972,2017-04-05
Rosalina Dieter,Cheers,GTXPro,4855,2017-04-02
Jonathan Berthelot,Hottechi,GTX Basic,553,2017-04-05
Kami Bicknell,Faxquote,MG Advanced,3523,2017-04-07
Maureen Marcano,Green-Plus,MG Special,48,2017-04-07
Vicki Laflamme,Goodsilron,GTX Plus Basic,1176,2017-04-09
Wilburn Farren,Kinnamplus,GTX Basic,589,2017-04-04
Cassey Cress,The New York Inquirer,GTXPro,4276,2017-04-06
Cassey Cress,Silis,MG Advanced,3390,2017-04-07
Donn Cantrell,Xx-zobam,GTX Basic,564,2017-04-06
Kami Bicknell,Hottechi,GTX Basic,500,2017-04-01
Lajuana Vencill,Hottechi,GTX Plus Pro,5728,2017-04-07
Rosie Papadopoulos,Umbrella Corporation,GTX Plus Pro,6155,2017-04-08
Rosie Papadopoulos,Zathunicon,GTX Plus Pro,4668,2017-04-08
Versie Hillebrand,Ron-tech,MG Special,59,2017-04-08
Vicki Laflamme,Plexzap,MG Advanced,3316,2017-04-06
Zane Levy,Plexzap,GTX Plus Pro,6227,2017-04-10
Anna Snelling,dambase,MG Advanced,3626,2017-04-08
Boris Faz,Vehement Capital Partners,MG Advanced,2819,2017-04-01
Hayden Neloms,Fasehatice,GTX Plus Basic,901,2017-04-09
James Ascencio,Faxquote,GTX Basic,589,2017-04-08
