sales_agent,account,product,order_value,create_date
Reed Clapper,Donware,GTX Basic,572,2017-08-04
Reed Clapper,Xx-zobam,GTX Plus Basic,1091,2017-08-02
Reed Clapper,Condax,MG Special,51,2017-08-02
Darcel Schlecht,Cancity,GTXPro,4359,2017-08-14
Anna Snelling,Finhigh,GTX Basic,489,2017-08-03
Darcel Schlecht,Codehow,GTXPro,5820,2017-08-09
Donn Cantrell,Acme Corporation,MG Advanced,3012,2017-08-05
Boris Faz,Zotware,MG Advanced,3138,2017-08-04
Cassey Cress,Gekko & Co,MG Advanced,3808,2017-08-04
Kary Hendrixson,Singletechno,GTXPro,4554,2017-08-06
Versie Hillebrand,Scottech,MG Special,52,2017-08-03
Cassey Cress,Acme Corporation,GTX Plus Basic,1161,2017-08-10
Jonathan Berthelot,Domzoom,GTX Plus Pro,5203,2017-08-03
Cassey Cress,Bubba Gump,GTX Plus Basic,1033,2017-08-21
Vicki Laflamme,Plexzap,GTXPro,5040,2017-08-12
Jonathan Berthelot,Inity,GTX Basic,570,2017-08-12
Lajuana Vencill,Warephase,MG Special,52,2017-08-11
Corliss Cosme,Plussunin,GTXPro,4505,2017-08-04
Darcel Schlecht,Scottech,GTXPro,5191,2017-08-15
Violet Mclelland,Bioplex,MG Advanced,2981,2017-08-04
Kary Hendrixson,Labdrill,GTXPro,4901,2017-08-08
Moses Frase,Treequote,MG Advanced,3025,2017-08-16
Gladys Colclough,dambase,GTX Plus Basic,821,2017-08-01
Lajuana Vencill,Dontechi,GTX Plus Basic,999,2017-08-07
Lajuana Vencill,dambase,MG Special,54,2017-08-05
Versie Hillebrand,Gogozoom,MG Special,59,2017-08-15
Anna Snelling,Rangreen,MG Advanced,3334,2017-08-14
Moses Frase,Warephase,GTX Basic,599,2017-08-14
Lajuana Vencill,Rangreen,GTX Plus Pro,5913,2017-08-08
Rosalina Dieter,Groovestreet,GTX Plus Basic,1210,2017-08-21
Cecily Lampkin,Genco Pura Olive Oil Company,MG Advanced,3139,2017-08-10
Corliss Cosme,Initech,GTX Basic,527,2017-08-11
Hayden Neloms,Labdrill,GTX Plus Pro,5408,2017-08-12
Hayden Neloms,Groovestreet,MG Special,62,2017-08-12
Kary Hendrixson,Lexiqvolax,GTX Basic,532,2017-08-06
Kary Hendrixson,Newex,GTX Basic,585,2017-08-13
Lajuana Vencill,Ron-tech,GTX Basic,583,2017-08-11
Rosie Papadopoulos,Plussunin,GTXPro,5182,2017-08-12
Anna Snelling,Globex Corporation,MG Special,64,2017-08-28
Darcel Schlecht,Warephase,GTX Plus Basic,878,2017-08-23
James Ascencio,Singletechno,MG Special,65,2017-08-20
Jonathan Berthelot,Hottechi,GTX Basic,543,2017-08-11
Versie Hillebrand,dambase,GTX Plus Pro,5145,2017-08-19
Versie Hillebrand,Cancity,MG Special,54,2017-08-09
Anna Snelling,Codehow,MG Special,53,2017-08-01
Boris Faz,Konex,GTX Plus Pro,5747,2017-08-25
Darcel Schlecht,Inity,GTX Basic,596,2017-08-11
Vicki Laflamme,Zoomit,MG Advanced,3718,2017-08-03
Darcel Schlecht,Dontechi,GTXPro,4935,2017-08-12
Darcel Schlecht,Codehow,MG Advanced,3560,2017-08-17
Niesha Huffines,Genco Pura Olive Oil Company,GTX Basic,528,2017-08-05
Versie Hillebrand,Betatech,GTX Basic,590,2017-08-09
Vicki Laflamme,Y-corporation,GTX Basic,578,2017-08-14
Cassey Cress,Donquadtech,GTXPro,4697,2017-08-05
Donn Cantrell,Kinnamplus,GTX Plus Basic,1161,2017-08-26
Jonathan Berthelot,Inity,GTX Basic,511,2017-08-12
Jonathan Berthelot,Condax,MG Special,57,2017-08-01
Kami Bicknell,Nam-zim,GTXPro,4352,2017-08-16
Vicki Laflamme,Groovestreet,GTX Plus Basic,1151,2017-08-10
Violet Mclelland,Donware,GTX Plus Basic,881,2017-08-25
Violet Mclelland,Umbrella Corporation,MG Special,59,2017-08-17
Darcel Schlecht,Funholding,GTX Basic,526,2017-08-17
Rosie Papadopoulos,Kan-code,MG Special,51,2017-08-09
Jonathan Berthelot,Warephase,GTX Plus Basic,1194,2017-08-10
Jonathan Berthelot,Rangreen,GTXPro,5310,2017-08-14
Maureen Marcano,Golddex,GTX Plus Basic,1222,2017-08-08
Moses Frase,Inity,GTX Plus Basic,901,2017-08-05
Reed Clapper,Kan-code,GTX Plus Pro,5601,2017-08-01
Wilburn Farren,Donquadtech,GTX Plus Basic,995,2017-08-05
Wilburn Farren,Xx-zobam,MG Advanced,3666,2017-08-05
Daniell Hammack,Bluth Company,MG Advanced,3282,2017-08-01
