sales_agent,account,product,order_value,create_date
Moses Frase,Cancity,GTX Plus Basic,1054,2017-03-01
Cecily Lampkin,Isdom,GTX Plus Pro,5882,2017-03-01
Kami Bicknell,Finjob,MG Advanced,3295,2017-03-01
Anna Snelling,Conecom,GTX Basic,625,2017-03-01
Reed Clapper,Acme Corporation,GTX Basic,556,2017-03-01
Anna Snelling,Codehow,GTX Plus Pro,5087,2017-03-01
Kary Hendrixson,Goodsilron,GTX Basic,550,2017-03-01
Anna Snelling,Rundofase,MG Special,65,2017-03-01
Anna Snelling,Ron-tech,MG Special,49,2017-03-01
James Ascencio,Sonron,GTX Basic,511,2017-03-01
Marty Freudenburg,Conecom,GTXPro,4926,2017-03-01
Anna Snelling,Gogozoom,GTX Plus Pro,4760,2017-03-01
Markita Hansen,Y-corporation,GTX Basic,523,2017-03-01
Cassey Cress,Umbrella Corporation,MG Advanced,4200,2017-03-01
Gladys Colclough,Conecom,GTX Plus Pro,6719,2017-03-01
Marty Freudenburg,Domzoom,GTX Basic,608,2017-03-01
Anna Snelling,Treequote,MG Special,58,2017-03-01
Garret Kinder,Opentech,MG Advanced,3348,2017-03-01
Corliss Cosme,Betasoloin,GTX Plus Pro,5964,2017-03-01
Maureen Marcano,Dalttechnology,GTX Basic,571,2017-03-01
Cassey Cress,Sumace,GTXPro,4711,2017-03-02
Zane Levy,Singletechno,GTX Plus Pro,5497,2017-03-02
Corliss Cosme,Kinnamplus,MG Special,50,2017-03-02
Anna Snelling,Scottech,GTX Basic,423,2017-03-02
Reed Clapper,Donquadtech,GTX Plus Basic,950,2017-03-02
Gladys Colclough,Konmatfix,GTX Plus Basic,970,2017-03-02
Lajuana Vencill,Zumgoity,GTX Basic,559,2017-03-02
Rosie Papadopoulos,Vehement Capital Partners,MG Special,48,2017-03-02
Anna Snelling,Isdom,MG Advanced,3246,2017-03-02
James Ascencio,Plexzap,GTXPro,5040,2017-03-02
Niesha Huffines,Treequote,MG Advanced,3841,2017-03-02
Anna Snelling,Hottechi,MG Special,60,2017-03-02
Zane Levy,Hatfan,GTX Basic,517,2017-03-02
Jonathan Berthelot,Inity,GTX Basic,504,2017-03-02
Vicki Laflamme,J-Texon,MG Special,57,2017-03-02
Daniell Hammack,Yearin,MG Advanced,3249,2017-03-02
Donn Cantrell,Gekko & Co,GTX Plus Pro,4246,2017-03-02
Donn Cantrell,Donquadtech,GTX Basic,462,2017-03-02
Versie Hillebrand,Dontechi,MG Special,57,2017-03-02
Cassey Cress,Yearin,GTX Plus Basic,1011,2017-03-02
Daniell Hammack,Mathtouch,GTXPro,4475,2017-03-03
Kary Hendrixson,Condax,GTX Basic,532,2017-03-03
Hayden Neloms,Golddex,GTX Plus Basic,1040,2017-03-03
Hayden Neloms,J-Texon,MG Advanced,3426,2017-03-03
Donn Cantrell,Vehement Capital Partners,GTXPro,4998,2017-03-03
Versie Hillebrand,dambase,MG Special,67,2017-03-03
Moses Frase,Dontechi,GTX Basic,615,2017-03-03
Corliss Cosme,Gekko & Co,MG Advanced,3351,2017-03-03
Rosalina Dieter,Green-Plus,GTX Basic,635,2017-03-03
Marty Freudenburg,Funholding,MG Special,52,2017-03-03
Cassey Cress,Mathtouch,MG Special,53,2017-03-03
Kami Bicknell,Goodsilron,GTX Plus Basic,1207,2017-03-03
Marty Freudenburg,Toughzap,GTX Basic,508,2017-03-03
Niesha Huffines,Zumgoity,GTX Plus Basic,1026,2017-03-03
Corliss Cosme,Ontomedia,GTX Plus Pro,5790,2017-03-03
Gladys Colclough,Codehow,GTXPro,4438,2017-03-03
Reed Clapper,Initech,GTX Basic,537,2017-03-03
Hayden Neloms,Sonron,GTX Plus Basic,1108,2017-03-04
Hayden Neloms,Nam-zim,MG Special,59,2017-03-04
Kary Hendrixson,Doncon,GTX Plus Pro,5425,2017-03-04
Maureen Marcano,Kan-code,GTX Basic,524,2017-03-04
Darcel Schlecht,Statholdings,GTX Basic,463,2017-03-04
Violet Mclelland,Bioplex,MG Special,56,2017-03-04
Lajuana Vencill,Stanredtax,MG Advanced,3180,2017-03-04
Lajuana Vencill,Rangreen,GTX Basic,559,2017-03-04
Corliss Cosme,Bioplex,MG Special,62,2017-03-04
Cassey Cress,Kan-code,GTXPro,4705,2017-03-04
Reed Clapper,Opentech,GTX Plus Basic,1090,2017-03-04
Donn Cantrell,Xx-zobam,GTX Basic,555,2017-03-04
Darcel Schlecht,Codehow,GTX Plus Basic,1217,2017-03-04
Rosie Papadopoulos,Sumace,GTXPro,5260,2017-03-04
Anna Snelling,Treequote,GTX Plus Basic,999,2017-03-04
Darcel Schlecht,Ron-tech,GTXPro,5006,2017-03-05
Vicki Laflamme,Y-corporation,MG Special,46,2017-03-05
Versie Hillebrand,Treequote,MG Special,61,2017-03-05
Elease Gluck,Cheers,MG Special,58,2017-03-05
Violet Mclelland,Ontomedia,MG Special,47,2017-03-05
James Ascencio,Sonron,GTX Plus Pro,4667,2017-03-05
Niesha Huffines,Ron-tech,GTX Basic,487,2017-03-05
Vicki Laflamme,Dalttechnology,GTXPro,4899,2017-03-05
Kami Bicknell,Newex,GTXPro,4216,2017-03-05
Reed Clapper,Massive Dynamic,MG Advanced,3315,2017-03-05
Violet Mclelland,Donquadtech,MG Special,65,2017-03-06
Niesha Huffines,Codehow,GTX Plus Basic,1123,2017-03-06
Rosalina Dieter,Dalttechnology,MG Special,47,2017-03-06
Darcel Schlecht,Genco Pura Olive Oil Company,GTX Plus Basic,1161,2017-03-06
Maureen Marcano,Sonron,GTX Plus Pro,4631,2017-03-06
Moses Frase,Treequote,GTX Basic,583,2017-03-06
Rosalina Dieter,Scotfind,MG Advanced,3284,2017-03-06
Garret Kinder,Kinnamplus,MG Special,41,2017-03-06
James Ascencio,Xx-holding,GTXPro,4338,2017-03-06
James Ascencio,Doncon,GTX Plus Basic,990,2017-03-06
Kami Bicknell,Plusstrip,GTXPro,5620,2017-03-06
Lajuana Vencill,Domzoom,MG Special,56,2017-03-06
Maureen Marcano,Dalttechnology,GTX Basic,499,2017-03-06
James Ascencio,Cheers,GTX Plus Pro,5616,2017-03-06
Kami Bicknell,Sonron,GTX Basic,563,2017-03-06
Garret Kinder,Ganjaflex,MG Advanced,3507,2017-03-06
Cecily Lampkin,Treequote,MG Advanced,3956,2017-03-06
Corliss Cosme,Betasoloin,GTXPro,4570,2017-03-06
Niesha Huffines,Conecom,GTX Plus Pro,5604,2017-03-07
Garret Kinder,Bioplex,MG Advanced,3278,2017-03-07
Versie Hillebrand,Stanredtax,MG Special,43,2017-03-07
Gladys Colclough,Scottech,MG Special,57,2017-03-07
Rosalina Dieter,Singletechno,MG Advanced,3959,2017-03-07
Reed Clapper,Gekko & Co,MG Advanced,3889,2017-03-07
Cassey Cress,Gekko & Co,GTX Plus Basic,1152,2017-03-07
Versie Hillebrand,Treequote,MG Special,49,2017-03-07
Darcel Schlecht,Cancity,MG Special,50,2017-03-07
Vicki Laflamme,Fasehatice,GTXPro,4906,2017-03-07
Donn Cantrell,Opentech,GTX Plus Basic,1037,2017-03-07
Elease Gluck,Singletechno,MG Special,65,2017-03-07
Daniell Hammack,Donquadtech,GTX Plus Basic,1020,2017-03-07
Moses Frase,Isdom,MG Special,58,2017-03-07
Wilburn Farren,The New York Inquirer,MG Advanced,3045,2017-03-07
Kary Hendrixson,Hottechi,GTXPro,4559,2017-03-07
Markita Hansen,Cheers,GTX Basic,601,2017-03-07
Darcel Schlecht,Finhigh,GTXPro,4739,2017-03-08
Hayden Neloms,Finjob,MG Advanced,3312,2017-03-08
Cassey Cress,Ontomedia,GTXPro,5040,2017-03-08
Darcel Schlecht,Stanredtax,MG Special,60,2017-03-08
Vicki Laflamme,Xx-holding,GTX Basic,523,2017-03-08
James Ascencio,Doncon,GTXPro,5673,2017-03-08
Maureen Marcano,Singletechno,GTX Plus Basic,1070,2017-03-08
Elease Gluck,Rantouch,MG Special,46,2017-03-08
Versie Hillebrand,Betatech,MG Special,50,2017-03-08
Markita Hansen,Faxquote,MG Special,64,2017-03-08
Rosie Papadopoulos,Donware,MG Special,60,2017-03-08
Kary Hendrixson,Sunnamplex,GTXPro,4719,2017-03-08
Versie Hillebrand,Condax,MG Special,62,2017-03-08
Anna Snelling,Isdom,GTX Basic,622,2017-03-08
Kary Hendrixson,Singletechno,GTX Plus Basic,1095,2017-03-08
Rosie Papadopoulos,Bioplex,MG Special,59,2017-03-08
Reed Clapper,Vehement Capital Partners,GTX Plus Pro,5548,2017-03-09
Vicki Laflamme,Goodsilron,GTXPro,4445,2017-03-09
Violet Mclelland,The New York Inquirer,MG Special,61,2017-03-09
Lajuana Vencill,Genco Pura Olive Oil Company,GTX Basic,542,2017-03-09
Darcel Schlecht,Ron-tech,GTXPro,4891,2017-03-09
Gladys Colclough,Cancity,MG Special,56,2017-03-09
Zane Levy,Labdrill,GTX Plus Basic,1049,2017-03-09
Kary Hendrixson,Hatfan,GTXPro,4694,2017-03-09
Corliss Cosme,Yearin,MG Advanced,3577,2017-03-09
Moses Frase,Codehow,GTX Basic,588,2017-03-09
Versie Hillebrand,Zumgoity,MG Special,60,2017-03-09
Elease Gluck,Zoomit,GTK 500,25897,2017-03-09
Garret Kinder,Yearin,MG Special,57,2017-03-09
