account,opportunity_id,sales_agent,deal_stage,product,created_date,close_date,close_value
Cancity,1C1I7A6R,Moses Frase,Won,GTX Plus Basic,2016-10-20,2017-03-01,1054
Isdom,Z063OYW0,Darcel Schlecht,Won,GTXPro,2016-10-25,2017-03-11,4514
Cancity,EC4QE1BX,Darcel Schlecht,Won,MG Special,2016-10-25,2017-03-07,50
Codehow,MV1LWRNH,Moses Frase,Won,GTX Basic,2016-10-25,2017-03-09,588
Hatfan,PE84CX4O,Zane Levy,Won,GTX Basic,2016-10-25,2017-03-02,517
Ron-tech,ZNBS69V1,Anna Snelling,Won,MG Special,2016-10-29,2017-03-01,49
J-Texon,9ME3374G,Vicki Laflamme,Won,MG Special,2016-10-30,2017-03-02,57
Cheers,7GN8Q4LL,Markita Hansen,Won,GTX Basic,2016-11-01,2017-03-07,601
Zumgoity,OLK9LKZB,Niesha Huffines,Won,GTX Plus Basic,2016-11-01,2017-03-03,1026
,HAXMC4IX,James Ascencio,In Progress,MG Advanced,2016-11-03,,
Bioholding,NL3JZH1Z,Anna Snelling,Won,MG Special,2016-11-04,2017-03-10,53
Genco Pura Olive Oil Company,KWVA7VR1,Gladys Colclough,Lost,GTXPro,2016-11-04,2017-03-18,0
Sunnamplex,S8DX3XOU,James Ascencio,Won,GTX Plus Pro,2016-11-04,2017-03-10,5169
Sonron,ENB2XD8G,Maureen Marcano,Won,GTX Plus Pro,2016-11-04,2017-03-06,4631
Finjob,09YE9QOV,Hayden Neloms,Won,MG Advanced,2016-11-05,2017-03-11,3393
Sonron,3F5MZNEH,Rosalina Dieter,Lost,MG Special,2016-11-05,2017-03-03,0
Scotfind,M6WEJXC0,Rosalina Dieter,Won,MG Advanced,2016-11-05,2017-03-06,3284
Treequote,6PTR7VBR,Versie Hillebrand,Won,MG Special,2016-11-06,2017-03-05,61
Xx-zobam,902REDPA,Daniell Hammack,Lost,GTXPro,2016-11-07,2017-03-09,0
Rantouch,5J9CMGDV,Elease Gluck,Won,MG Special,2016-11-07,2017-03-08,46
Fasehatice,JJXRR8R6,James Ascencio,Lost,GTX Plus Pro,2016-11-07,2017-03-17,0
Ron-tech,WF4HA5NW,Moses Frase,Won,MG Special,2016-11-07,2017-03-18,50
Vehement Capital Partners,C5K2JP1H,Violet Mclelland,Won,GTX Plus Basic,2016-11-07,2017-03-11,1014
Warephase,ADRB8OMB,Darcel Schlecht,Won,GTX Basic,2016-11-08,2017-03-26,561
Zoomit,SBCR987L,Kami Bicknell,Won,GTX Basic,2016-11-10,2017-03-23,590
Ganjaflex,UP409DSB,Maureen Marcano,In Progress,MG Advanced,2016-11-10,,
Bioholding,JSD4APT2,Versie Hillebrand,Won,MG Special,2016-11-10,2017-03-12,61
Xx-zobam,AO9Z2D17,Violet Mclelland,Lost,GTX Plus Pro,2016-11-10,2017-03-11,0
Cheers,5M58DTJK,Elease Gluck,Won,MG Special,2016-11-11,2017-03-05,58
Labdrill,KNY1OSAB,Maureen Marcano,Won,GTXPro,2016-11-11,2017-03-14,4899
Zotware,EAZDUUM9,Rosie Papadopoulos,Lost,MG Advanced,2016-11-11,2017-03-01,0
dambase,2STUSOFE,Versie Hillebrand,Won,MG Special,2016-11-11,2017-03-03,67
Xx-holding,JYKM0B00,James Ascencio,Won,GTXPro,2016-11-12,2017-03-06,4338
Fasehatice,KU28360J,Kary Hendrixson,Won,GTX Basic,2016-11-12,2017-03-19,578
Acme Corporation,N4SD17JR,Reed Clapper,Won,GTX Basic,2016-11-12,2017-03-01,556
Green-Plus,E67P9Y3Q,Rosalina Dieter,Won,GTX Basic,2016-11-12,2017-03-03,635
The New York Inquirer,AT3MMVIS,Wilburn Farren,Won,MG Advanced,2016-11-12,2017-03-07,3045
Mathtouch,REJ11LRY,Garret Kinder,Won,GTX Plus Basic,2016-11-13,2017-03-14,1233
Zumgoity,ERV0CAZ7,Versie Hillebrand,Won,MG Special,2016-11-13,2017-03-09,60
Gogozoom,8SOQADK7,Anna Snelling,Lost,MG Special,2016-11-14,2017-03-30,0
Stanredtax,TCHFT25B,Darcel Schlecht,Lost,GTX Basic,2016-11-14,2017-03-08,0
