sales_agent,account,product,order_value,create_date
Niesha Huffines,Rundofase,GTXPro,4835,2017-09-01
Kary Hendrixson,Nam-zim,GTX Basic,616,2017-09-03
Marty Freudenburg,Rangreen,GTX Basic,433,2017-09-02
Niesha Huffines,Funholding,GTX Plus Basic,984,2017-09-18
Jonathan Berthelot,Codehow,GTX Plus Basic,1093,2017-09-02
Elease Gluck,Newex,MG Special,54,2017-09-05
Kami Bicknell,Singletechno,GTXPro,4426,2017-09-12
Maureen Marcano,Zoomit,GTX Plus Pro,4786,2017-09-18
Kami Bicknell,Blackzim,GTX Plus Pro,4755,2017-09-13
Kary Hendrixson,Faxquote,GTX Plus Basic,1220,2017-09-14
Markita Hansen,Scotfind,GTX Basic,464,2017-09-04
Moses Frase,Finhigh,MG Special,61,2017-09-15
Elease Gluck,Faxquote,MG Special,54,2017-09-13
Jonathan Berthelot,Codehow,GTXPro,5625,2017-09-06
Daniell Hammack,Umbrella Corporation,GTX Basic,536,2017-09-15
Lajuana Vencill,Streethex,MG Special,61,2017-09-07
Maureen Marcano,Blackzim,GTX Plus Basic,1101,2017-09-10
Niesha Huffines,Inity,GTX Basic,545,2017-09-05
Violet Mclelland,Zotware,MG Advanced,3061,2017-09-26
Vicki Laflamme,Rantouch,GTXPro,5154,2017-09-07
Wilburn Farren,Gekko & Co,MG Advanced,3483,2017-09-16
Versie Hillebrand,Codehow,MG Special,51,2017-09-20
Vicki Laflamme,Golddex,GTXPro,4573,2017-09-08
Anna Snelling,Streethex,MG Special,51,2017-09-15
Donn Cantrell,Iselectrics,GTX Plus Basic,995,2017-09-05
Corliss Cosme,Ganjaflex,GTX Basic,503,2017-09-04
Daniell Hammack,Mathtouch,GTX Basic,592,2017-09-01
Darcel Schlecht,Warephase,GTXPro,4914,2017-09-11
Darcel Schlecht,Cancity,GTXPro,5961,2017-09-27
Hayden Neloms,Groovestreet,MG Advanced,3728,2017-09-14
Kami Bicknell,Plusstrip,GTX Plus Basic,1082,2017-09-13
Daniell Hammack,Yearin,GTXPro,4491,2017-09-11
Marty Freudenburg,Treequote,MG Advanced,2785,2017-09-05
Moses Frase,Bioholding,GTX Basic,547,2017-09-15
Garret Kinder,Konex,GTX Basic,476,2017-09-02
Kary Hendrixson,Condax,GTX Basic,584,2017-09-25
Niesha Huffines,Globex Corporation,GTX Basic,578,2017-09-08
Cassey Cress,Donware,GTX Basic,614,2017-09-24
Cassey Cress,Bubba Gump,GTX Plus Pro,5778,2017-09-13
Donn Cantrell,Bubba Gump,MG Advanced,3521,2017-09-10
James Ascencio,Lexiqvolax,GTX Plus Pro,5190,2017-09-18
Maureen Marcano,Goodsilron,GTX Plus Basic,940,2017-09-27
Violet Mclelland,Massive Dynamic,MG Advanced,3158,2017-09-10
Corliss Cosme,Konex,GTX Basic,616,2017-09-25
Lajuana Vencill,Rundofase,GTX Basic,483,2017-09-23
Lajuana Vencill,Warephase,MG Advanced,3727,2017-09-16
Boris Faz,Silis,GTX Basic,561,2017-09-15
